Date, Station, CAPE, CINS
 12Z 25 Mar 2015,  72293,  0.00,  0.00
 00Z 26 Mar 2015,  72293,  0.00,  0.00
 12Z 26 Mar 2015,  72293,  0.00,  0.00
 00Z 27 Mar 2015,  72293,  0.00,  0.00
 12Z 27 Mar 2015,  72293,  0.00,  0.00
 00Z 28 Mar 2015,  72293,  0.00,  0.00
 12Z 28 Mar 2015,  72293,  0.00,  0.00
 00Z 29 Mar 2015,  72293,  0.00,  0.00
 12Z 29 Mar 2015,  72293,  0.00,  0.00
 00Z 30 Mar 2015,  72293,  110.40,  -576.06
 12Z 30 Mar 2015,  72293,  0.00,  0.00
 00Z 31 Mar 2015,  72293,  0.00,  0.00
 12Z 31 Mar 2015,  72293,  0.00,  0.00
 00Z 01 Apr 2015,  72293,  0.00,  0.00
 12Z 01 Apr 2015,  72293,  2.27,  0.00
 00Z 02 Apr 2015,  72293,  0.00,  0.00
 12Z 02 Apr 2015,  72293,  4.93,  -0.58
 00Z 03 Apr 2015,  72293,  0.00,  0.00
 12Z 03 Apr 2015,  72293,  0.00,  0.00
 00Z 04 Apr 2015,  72293,  0.00,  0.00
 12Z 04 Apr 2015,  72293,  0.00,  0.00
 00Z 05 Apr 2015,  72293,  0.00,  -372.39
 12Z 05 Apr 2015,  72293,  4.96,  0.00
 00Z 06 Apr 2015,  72293,  0.00,  0.00
 12Z 06 Apr 2015,  72293,  23.15,  -1.73
 00Z 07 Apr 2015,  72293,  0.00,  0.00
 12Z 07 Apr 2015,  72293,  0.39,  -14.01
 00Z 08 Apr 2015,  72293,  0.00,  0.00
 12Z 08 Apr 2015,  72293,  83.18,  -0.22
 00Z 09 Apr 2015,  72293,  0.00,  0.00
 12Z 09 Apr 2015,  72293,  0.00,  0.00
 00Z 10 Apr 2015,  72293,  0.00,  0.00
 12Z 10 Apr 2015,  72293,  11.00,  0.00
 00Z 11 Apr 2015,  72293,  0.00,  0.00
 12Z 11 Apr 2015,  72293,  0.00,  0.00
 00Z 12 Apr 2015,  72293,  0.00,  0.00
 12Z 12 Apr 2015,  72293,  0.00,  0.00
 00Z 13 Apr 2015,  72293,  0.00,  0.00
 12Z 13 Apr 2015,  72293,  0.00,  0.00
 00Z 14 Apr 2015,  72293,  0.00,  0.00
 12Z 14 Apr 2015,  72293,  2.01,  0.00
 00Z 15 Apr 2015,  72293,  0.00,  0.00
 12Z 15 Apr 2015,  72293,  0.00,  0.00
 00Z 16 Apr 2015,  72293,  0.00,  0.00
 12Z 16 Apr 2015,  72293,  0.00,  0.00
 00Z 17 Apr 2015,  72293,  0.00,  0.00
 12Z 17 Apr 2015,  72293,  0.00,  0.00
 00Z 18 Apr 2015,  72293,  0.00,  0.00
 12Z 18 Apr 2015,  72293,  0.00,  0.00
 00Z 19 Apr 2015,  72293,  0.00,  0.00
 12Z 19 Apr 2015,  72293,  0.00,  0.00
 00Z 20 Apr 2015,  72293,  0.00,  -822.79
 12Z 20 Apr 2015,  72293
 00Z 21 Apr 2015,  72293,  0.00,  0.00
 12Z 21 Apr 2015,  72293,  10.11,  0.00
 00Z 22 Apr 2015,  72293,  10.48,  0.00
 12Z 22 Apr 2015,  72293,  33.57,  -9.17
 00Z 23 Apr 2015,  72293,  0.00,  0.00
 12Z 23 Apr 2015,  72293,  0.28,  -22.23
 00Z 24 Apr 2015,  72293,  59.19,  0.00
 12Z 24 Apr 2015,  72293,  30.37,  0.00
 00Z 25 Apr 2015,  72293,  15.82,  0.00
 12Z 25 Apr 2015,  72293,  21.28,  -0.47
 00Z 26 Apr 2015,  72293,  7.70,  -0.04
 12Z 26 Apr 2015,  72293,  8.77,  -0.75
 00Z 27 Apr 2015,  72293,  0.00,  0.00
 12Z 27 Apr 2015,  72293,  0.00,  0.00
 00Z 28 Apr 2015,  72293,  0.00,  0.00
 12Z 28 Apr 2015,  72293,  0.00,  0.00
 00Z 29 Apr 2015,  72293,  0.00,  0.00
 12Z 29 Apr 2015,  72293,  0.00,  0.00
 00Z 30 Apr 2015,  72293,  0.00,  0.00
 12Z 30 Apr 2015,  72293,  0.00,  0.00
 00Z 01 May 2015,  72293,  0.00,  0.00
 12Z 01 May 2015,  72293,  0.00,  0.00
 00Z 02 May 2015,  72293,  0.00,  0.00
 12Z 02 May 2015,  72293,  0.00,  0.00
 00Z 03 May 2015,  72293,  0.00,  0.00
 12Z 03 May 2015,  72293,  1.52,  -0.13
 00Z 04 May 2015,  72293,  0.00,  0.00
 12Z 04 May 2015,  72293,  4.89,  -0.34
 00Z 05 May 2015,  72293,  3.45,  0.00
 12Z 05 May 2015,  72293,  5.44,  -0.76
