Date,            Station,Showalter, Lifed, LIFT, SWEAT,    K,     TT,CAPE, CINS,Equilibrum,LFCT, CAPV,Temp K, PW 
12:00 26 Jan 2015,  72293,  9.56,  11.94,  12.19,  69.99,  10.70,  33.80,  0.00,  0.00,  0.00,  263.87,  17.23  
00:00 27 Jan 2015,  72293,  1.17,  7.25,  7.16,  177.19,  32.10,  50.50,  0.00,  0.00,  0.00,  274.05,  24.37  
12:00 27 Jan 2015,  72293,  3.77,  2.79,  2.66,  77.39,  15.70,  47.00,  0.00,  0.00,  0.00,  281.06,  19.91  
00:00 28 Jan 2015,  72293,  8.02,  5.94,  5.71,  86.60,  7.50,  38.40,  0.00,  0.00,  0.00,  279.99,  15.63  
12:00 28 Jan 2015,  72293,  11.51,  5.89,  5.81,  45.01,  -22.70,  28.40,  0.00,  0.00,  0.00,  280.37,  14.78  
00:00 29 Jan 2015,  72293,  7.24,  6.76,  6.87,  46.00,  1.70,  39.60,  0.00,  0.00,  0.00,  275.25,  17.21  
12:00 29 Jan 2015,  72293,  9.43,  6.92,  7.07,  30.98,  -0.90,  34.20,  0.00,  0.00,  0.00,  276.43,  17.41  
00:00 30 Jan 2015,  72293,  7.03,  5.47,  5.57,  50.21,  24.70,  40.40,  9.26,  -124.93,  716.15,  759.42,  1.39,  279.16,  25.29  
12:00 30 Jan 2015,  72293,  4.65,  3.82,  3.75,  48.01,  27.70,  45.40,  3.71,  -104.63,  717.13,  764.59,  0.18,  279.96,  22.56  
00:00 31 Jan 2015,  72293,  3.56,  1.67,  1.69,  52.20,  27.30,  47.90,  24.33,  -10.51,  642.74,  844.31,  56.24,  280.83,  24.50  
12:00 31 Jan 2015,  72293,  2.50,  0.74,  0.69,  81.40,  29.50,  49.50,  108.17,  -4.59,  546.83,  888.03,  5.75,  284.76,  24.44
  
00:00 01 Feb 2015,  72293,  2.81,  0.95,  0.81,  105.99,  25.00,  48.50,  111.36,  -46.16,  567.08,  818.58,  2.06,  282.76,  22.04  
00:00 02 Feb 2015,  72293,  8.84,  9.20,  9.06,  42.99,  -3.90,  36.40,  0.00,  0.00,  0.00,  273.31,  10.92  
12:00 02 Feb 2015,  72293,  10.68,  7.84,  7.83,  26.01,  -13.30,  23.60,  0.00,  0.00,  0.00,  274.53,  11.18  
00:00 03 Feb 2015,  72293,  9.67,  9.76,  9.66,  30.98,  -7.10,  28.40,  0.00,  0.00,  0.00,  267.82,  8.96  
12:00 03 Feb 2015,  72293,  9.08,  8.73,  8.69,  49.01,  -12.70,  26.60,  0.00,  0.00,  0.00,  276.64,  9.96  
00:00 04 Feb 2015,  72293,  8.89,  7.71,  7.55,  41.01,  -9.90,  31.20,  0.00,  0.00,  0.00,  273.40,  10.27  
12:00 04 Feb 2015,  72293,  7.44,  11.12,  11.06,  47.01,  -3.70,  36.20,  0.00,  0.00,  0.00,  278.06,  10.80  
00:00 05 Feb 2015,  72293,  9.63,  9.07,  9.01,  29.99,  -18.90,  27.00,  0.00,  0.00,  0.00,  271.54,  7.35  
12:00 05 Feb 2015,  72293,  9.16,  8.99,  8.84,  19.00,  -15.70,  32.40,  0.00,  0.00,  0.00,  280.86,  10.66  
00:00 06 Feb 2015,  72293,  8.07,  7.81,  7.64,  30.98,  -13.10,  35.20,  0.00,  0.00,  0.00,  273.86,  9.10  
12:00 06 Feb 2015,  72293,  13.59,  11.82,  11.69,  51.01,  -27.90,  23.00,  0.00,  0.00,  0.00,  279.05,  9.49  
00:00 07 Feb 2015,  72293,  13.65,  11.38,  11.25,  60.00,  -14.50,  22.40,  0.00,  0.00,  0.00,  273.29,  8.30  
12:00 08 Feb 2015,  72293,  4.44,  7.73,  7.43,  170.81,  24.20,  40.70,  0.00,  0.00,  0.00,  285.41,  22.53  
