Date, Station, CAPE, CINS
 06 Aug 2015,  72293,  0.00,  0.00
 07 Aug 2015,  72293,  1.05,  0.00
 08 Aug 2015,  72293,  2.07,  -0.09
 09 Aug 2015,  72293,  1.03,  0.00
 10 Aug 2015,  72293,  1.93,  0.00
 11 Aug 2015,  72293,  0.36,  0.00
 12 Aug 2015,  72293,  0.00,  0.00
 13 Aug 2015,  72293,  0.00,  0.00
 14 Aug 2015,  72293,  0.00,  0.00
 15 Aug 2015,  72293,  0.00,  0.00
 16 Aug 2015,  72293,  0.00,  0.00
 17 Aug 2015,  72293,  0.00,  0.00
 18 Aug 2015,  72293,  0.06,  0.00
 19 Aug 2015,  72293,  0.00,  0.00
 20 Aug 2015,  72293,  0.46,  -0.03
 21 Aug 2015,  72293,  1.09,  0.00
 22 Aug 2015,  72293,  0.11,  0.00
 23 Aug 2015,  72293,  0.00,  0.00
 24 Aug 2015,  72293,  0.00,  0.00
 25 Aug 2015,  72293,  0.00,  0.00
 26 Aug 2015,  72293,  0.01,  -795.85
 27 Aug 2015,  72293,  0.00,  0.00
 28 Aug 2015,  72293,  0.00,  0.00
 29 Aug 2015,  72293,  0.00,  0.00
 30 Aug 2015,  72293,  0.00,  0.00
 31 Aug 2015,  72293,  0.00,  0.00
 01 Sep 2015,  72293,  2.56,  0.00
 02 Sep 2015,  72293,  1.51,  -0.19
 03 Sep 2015,  72293,  0.00,  0.00
 04 Sep 2015,  72293,  11.37,  0.00
 05 Sep 2015,  72293,  0.33,  -0.01
 06 Sep 2015,  72293,  0.00,  0.00
 07 Sep 2015,  72293,  0.00,  0.00
 08 Sep 2015,  72293,  1.55,  -779.99
 09 Sep 2015,  72293,  79.15,  -533.19
 10 Sep 2015,  72293,  69.61,  -342.44
 11 Sep 2015,  72293,  2.19,  -384.92
 12 Sep 2015,  72293,  0.00,  0.00
 13 Sep 2015,  72293,  0.00,  0.00
 14 Sep 2015,  72293,  0.00,  0.00
 15 Sep 2015,  72293,  115.56,  -1.58
 16 Sep 2015,  72293,  0.21,  -3.47
 17 Sep 2015,  72293,  0.31,  -0.29
 18 Sep 2015,  72293,  0.00,  0.00
 19 Sep 2015,  72293,  0.04,  -1087.62
 20 Sep 2015,  72293,  233.49,  -642.92
 21 Sep 2015,  72293,  7.02,  -765.84
 22 Sep 2015,  72293,  0.00,  0.00
 23 Sep 2015,  72293,  0.00,  0.00
 24 Sep 2015,  72293,  0.00,  0.00
 25 Sep 2015,  72293,  0.00,  0.00
 26 Sep 2015,  72293,  0.00,  0.00
 27 Sep 2015,  72293,  0.00,  0.00
 28 Sep 2015,  72293,  0.00,  0.00
 29 Sep 2015,  72293,  0.00,  0.00
 30 Sep 2015,  72293,  0.00,  0.00
 01 Oct 2015,  72293,  0.00,  0.00
